127.0.0.1 - - [30/Mar/2026 09:39:09] code 404, message File not found
127.0.0.1 - - [30/Mar/2026 09:39:09] "HEAD /api/materials HTTP/1.1" 404 -
127.0.0.1 - - [30/Mar/2026 09:39:53] "GET /api/materials HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:07] "GET /pages/about.html HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:08] "GET /css/variables.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:08] "GET /js/main.js HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:08] "GET /css/styles.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:08] "GET /assets/dimensional-v-white.png HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /index.html HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /css/variables.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /css/styles.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /js/main.js HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /assets/dimensional-v-white.png HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /assets/qr-bg.png HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /assets/timeline-bg.png HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:09] "GET /assets/about-bg.jpg HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /pages/recently-added.html HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /css/variables.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /css/recently-added.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /js/recently-added.js HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /js/main.js HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /css/styles.css HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /assets/dimensional-v-white.png HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /api/materials HTTP/1.1" 200 -
100.100.75.135 - - [30/Mar/2026 09:41:11] "GET /assets/uploads/71ed9b20-cc5f-4e9a-97ec-ab1d321867c5.png HTTP/1.1" 200 -
